"Kod"	"Giltig från"	"Överordnad kod"	"Titel"	"Latin"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Kodningsinformation"	"Innehåll"	"Manifestation(*)/Etiologi(†)"	"Koppling Manifestation(*)/Etiologi(†)"	"Ej huvuddiagnos"	"Kodnivå - kodspecifikation"
"03"	""	""	""	""	""	""	""	"Sjukdom orsakad av humant immunbristvirus [HIV] (B20-B24)"	""	""	""	""	""	""	""
"03"	""	""	""	""	""	""	""	"Skador, förgiftningar och vissa andra följder av yttre orsaker (S00-T98)"	""	""	""	""	""	""	""
"03"	""	""	""	""	""	""	""	"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras på annan plats (R00-R99)"	""	""	""	""	""	""	""
"03"	""	""	""	""	""	""	""	"Tumörer (C00-D48)"	""	""	""	""	""	""	""
"03"	""	""	""	""	""	""	""	"Vissa perinatala tillstånd (P00-P96)"	""	""	""	""	""	""	""
"04"	"1997-01-01"	""	"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar (E00-E90)"	"Morbi systematis endocrini, nutritionis et metabolismi"	""	""	""	"Komplikationer vid graviditet, förlossning och under barnsängstid (O00-O99)"	"<div>Alla tumörer klassificeras i kapitel 2 oavsett endokrin aktivitet.</div><div>Lämpliga koder i detta kapitel (d.v.s. E05.8, E07.0, E16-E31, E34.-) kan användas som tilläggskoder för att ange funktionell aktivitet hos tumörer och ektopisk endokrin vävnad. De kan även användas vid hyperfunktion och hypofunktion hos endokrina körtlar vid tumörer och andra tillstånd som klassificeras på annan plats</div>"	""	"<div>Detta kapitel innehåller följande avsnitt:<div>E00-E07 Sjukdomar i sköldkörteln</div><div>E10-E14 Diabetes</div><div>E15-E16 Andra rubbningar i glukosreglering och bukspottkörtelns inre sekretion</div><div>E20-E35 Sjukdomar i andra endokrina körtlar</div><div>E40-E46 Näringsbrist</div><div>E50-E64 Andra näringsbristtillstånd</div><div>E65-E68 Fetma och andra övernäringstillstånd</div><div>E70-E90 Ämnesomsättningssjukdomar</div></div><div><br></div><div>Detta kapitel innehåller följande asteriskkoder:<div>E35* Endokrina rubbningar vid sjukdomar som klassificeras på annan plats</div><div>E90* Rubbningar i nutrition och ämnesomsättning vid sjukdomar som klassificeras på annan plats</div></div>"	""	""	""	"Kapitelkod"
"04"	""	""	""	""	""	""	""	"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras på annan plats (R00-R99)"	""	""	""	""	""	""	""
"04"	""	""	""	""	""	""	""	"Övergående endokrina rubbningar och ämnesomsättningssjukdomar specifika för foster och nyfödd (P70-P74)"	""	""	""	""	""	""	""
"05"	"1997-01-01"	""	"Psykiska sjukdomar och syndrom samt beteendestörningar (F00-F99)"	"Morbi et syndromata mentis et perturbationes morum"	""	""	"Störningar i psykisk utveckling"	"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras på annan plats (R00-R99)"	""	""	"<div>Detta kapitel innehåller följande avsnitt:<div>F00-F09 Organiska, inklusive symtomatiska, psykiska störningar</div><div>F10-F19 Psykiska störningar och beteendestörningar orsakade av psykoaktiva substanser</div><div>F20-F29 Schizofreni, schizotypa störningar och vanföreställningssyndrom</div><div>F30-F39 Förstämningssyndrom</div><div>F40-F48 Neurotiska, stressrelaterade och somatoforma syndrom</div><div>F50-F59 Beteendestörningar förenade med fysiologiska rubbningar och fysiska faktorer</div><div>F60-F69 Personlighetsstörningar och beteendestörningar hos vuxna</div><div>F70-F79 Psykisk utvecklingsstörning</div><div>F80-F89 Störningar i psykisk utveckling</div><div>F90-F98 Beteendestörningar och emotionella störningar med debut vanligen under barndom och ungdomstid</div><div>F99 Ospecificerad psykisk störning</div></div><div><br></div><div>Detta kapitel innehåller följande asteriskkoder:<div>F00* Demens vid Alzheimers sjukdom</div><div>F02* Demens vid andra sjukdomar som klassificeras på annan plats</div></div>"	""	""	""	"Kapitelkod"
"06"	"1997-01-01"	""	"Sjukdomar i nervsystemet (G00-G99)"	"Morbi systematis nervosi"	""	""	""	"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar (E00-E90)"	""	""	"<div>Detta kapitel innehåller följande avsnitt:<div>G00-G09 Inflammatoriska sjukdomar i centrala nervsystemet</div><div>G10-G14 Systemiska atrofier som primärt engagerar centrala nervsystemet</div><div>G20-G26 Basalgangliesjukdomar och rörelserubbningar</div><div>G30-G32 Andra degenerativa sjukdomar i nervsystemet</div><div>G35-G37 Myelinförstörande sjukdomar i centrala nervsystemet</div><div>G40-G47 Episodiska och paroxysmala sjukdomar</div><div>G50-G59 Sjukdomar i nerver, nervrötter och nervplexus</div><div>G60-G64 Polyneuropatier och andra sjukdomar i perifera nervsystemet</div><div>G70-G73 Neuromuskulära transmissionsrubbningar och sjukdomar i muskler</div><div>G80-G83 Cerebral pares och andra förlamningssyndrom</div><div>G90-G99 Andra sjukdomar i nervsystemet</div></div><div><br></div><div>Detta kapitel innehåller följande asteriskkoder:<div>G01* Meningit vid bakteriesjukdomar som klassificeras på annan plats</div><div>G02* Meningit vid andra infektions- och parasitsjukdomar som klassificeras på annan plats</div><div>G05* Encefalit, myelit och encefalomyelit vid sjukdomar som klassificeras på annan plats</div><div>G07* Abscess och granulom i skallen och ryggradskanalen vid sjukdomar som klassificeras på annan plats</div><div>G13* Systemiska atrofier som primärt engagerar centrala nervsystemet vid sjukdomar som klassificeras på annan plats</div><div>G22* Parkinsonism vid sjukdomar som klassificeras på annan plats</div><div>G26* Basalganglietillstånd och rörelserubbningar vid sjukdomar som klassificeras på annan plats</div><div>G32* Andra degenerativa tillstånd i nervsystemet vid sjukdomar som klassificeras på annan plats</div><div>G46* Vaskulära syndrom i hjärnan vid cerebrovaskulära sjukdomar</div><div>G53* Förändringar i kranialnerver vid sjukdomar som klassificeras på annan plats</div><div>G55* Kompression av nervrötter och nervplexus vid sjukdomar som klassificeras på annan plats</div><div>G59* Mononeuropati vid sjukdomar som klassificeras på annan plats</div><div>G63* Polyneuropati vid sjukdomar som klassificeras på annan plats</div><div>G73* Neuromuskulära transmissionsrubbningar och muskelförändringar vid sjukdomar som klassificeras på annan plats</div><div>G94* Andra tillstånd i hjärnan vid sjukdomar som klassificeras på annan plats</div><div>G99* Andra tillstånd i nervsystemet vid sjukdomar som klassificeras på annan plats</div></div>"	""	""	""	"Kapitelkod"
"06"	""	""	""	""	""	""	""	"Komplikationer vid graviditet, förlossning och under barnsängstid (O00-O99)"	""	""	""	""	""	""	""
"06"	""	""	""	""	""	""	""	"Medfödda missbildningar, deformiteter och kromosomavvikelser (Q00-Q99)"	""	""	""	""	""	""	""
"06"	""	""	""	""	""	""	""	"Skador, förgiftningar och vissa andra följder av yttre orsaker (S00-T98)"	""	""	""	""	""	""	""
"06"	""	""	""	""	""	""	""	"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras på annan plats (R00-R99)"	""	""	""	""	""	""	""
"06"	""	""	""	""	""	""	""	"Tumörer (C00-D48)"	""	""	""	""	""	""	""
"06"	""	""	""	""	""	""	""	"Vissa infektions- och parasitsjukdomar (A00-B99)"	""	""	""	""	""	""	""
"06"	""	""	""	""	""	""	""	"Vissa perinatala tillstånd (P00-P96)"	""	""	""	""	""	""	""
"07"	"1997-01-01"	""	"Sjukdomar i ögat och närliggande organ (H00-H59)"	"Morbi oculi et adnexorum"	""	""	""	"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar (E00-E90)"	""	""	"<div>Detta kapitel innehåller följande avsnitt:<div>H00-H06 Sjukdomar i ögonlock, tårapparat och ögonhåla</div><div>H10-H13 Sjukdomar i bindehinnan</div><div>H15-H22 Sjukdomar i senhinnan, hornhinnan, regnbågshinnan och ciliarkroppen</div><div>H25-H28 Sjukdomar i linsen</div><div>H30-H36 Sjukdomar i åderhinnan och näthinnan</div><div>H40-H42 Glaukom</div><div>H43-H45 Sjukdomar i glaskroppen och ögongloben</div><div>H46-H48 Sjukdomar i synnerven och synbanorna</div><div>H49-H52 Sjukdomar i ögonmusklerna, förändringar i de binokulära rörelserna samt ögats ackommodation och refraktion</div><div>H53-H54 Synstörningar och blindhet</div><div>H55-H59 Andra sjukdomar i ögat och närliggande organ</div></div><div><br></div><div>Detta kapitel innehåller följande asteriskkoder:<div>H03* Förändringar i ögonlock vid sjukdomar som klassificeras på annan plats</div><div>H06* Förändringar i tårapparaten och ögonhålan vid sjukdomar som klassificeras på annan plats</div><div>H13* Förändringar i bindehinnan vid sjukdomar som klassificeras på annan plats</div><div>H19* Förändringar i senhinnan och hornhinnan vid sjukdomar som klassificeras på annan plats</div><div>H22* Förändringar i regnbågshinnan och ciliarkroppen vid sjukdomar som klassificeras på annan plats</div><div>H28* Katarakt och andra linsförändringar vid sjukdomar som klassificeras på annan plats</div><div>H32* Förändringar i både åderhinnan och näthinnan vid sjukdomar som klassificeras på annan plats</div><div>H36* Förändringar i näthinnan vid sjukdomar som klassificeras på annan plats</div><div>H42* Glaukom vid sjukdomar som klassificeras på annan plats</div><div>H45* Förändringar i glaskroppen och ögongloben vid sjukdomar som klassificeras på annan plats</div><div>H48* Förändringar i synnerven och synbanorna vid sjukdomar som klassificeras på annan plats</div><div>H58* Andra förändringar i ögat och närliggande organ vid sjukdomar som klassificeras på annan plats</div></div>"	""	""	""	"Kapitelkod"
"07"	""	""	""	""	""	""	""	"Komplikationer vid graviditet, förlossning och barnsängstid (O00-O99)"	""	""	""	""	""	""	""
"07"	""	""	""	""	""	""	""	"Medfödda missbildningar, deformiteter och kromosomavvikelser (Q00-Q99)"	""	""	""	""	""	""	""
"07"	""	""	""	""	""	""	""	"Skador, förgiftningar och vissa andra följder av yttre orsaker (S00-T98)"	""	""	""	""	""	""	""
"07"	""	""	""	""	""	""	""	"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras på annan plats (R00-R99)"	""	""	""	""	""	""	""
"07"	""	""	""	""	""	""	""	"Tumörer (C00-D48)"	""	""	""	""	""	""	""
"07"	""	""	""	""	""	""	""	"Vissa infektionssjukdomar och parasitsjukdomar (A00-B99)"	""	""	""	""	""	""	""
"07"	""	""	""	""	""	""	""	"Vissa perinatala tillstånd (P00-P96)"	""	""	""	""	""	""	""
"08"	"1997-01-01"	""	"Sjukdomar i örat och mastoidutskottet (H60-H95)"	"Morbi auris et processus mastoidei"	""	""	""	"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar (E00-E90)"	""	""	"<div>Detta kapitel innehåller följande avsnitt:<div>H60-H62 Sjukdomar i ytterörat och hörselgången</div><div>H65-H75 Sjukdomar i mellanörat och mastoidutskottet</div><div>H80-H83 Sjukdomar i innerörat</div><div>H90-H95 Andra öronsjukdomar</div></div><div><br></div><div>Detta kapitel innehåller följande asteriskkoder:<div>H62* Förändringar i ytterörat vid sjukdomar som klassificeras på annan plats</div><div>H67* Mellanöreinflammation vid sjukdomar som klassificeras på annan plats</div><div>H75* Andra tillstånd i mellanörat och mastoidutskottet vid sjukdomar som klassificeras på annan plats</div><div>H82* Yrselsyndrom vid sjukdomar som klassificeras på annan plats</div><div>H94* Andra tillstånd i örat vid sjukdomar som klassificeras på annan plats</div></div>"	""	""	""	"Kapitelkod"
"08"	""	""	""	""	""	""	""	"Komplikationer vid graviditet, förlossning och under barnsängstid (O00-O99)"	""	""	""	""	""	""	""
"08"	""	""	""	""	""	""	""	"Medfödda missbildningar, deformiteter och kromosomavvikelser (Q00-Q99)"	""	""	""	""	""	""	""
"08"	""	""	""	""	""	""	""	"Skador, förgiftningar och vissa andra följder av yttre orsaker (S00-T98)"	""	""	""	""	""	""	""
"08"	""	""	""	""	""	""	""	"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras på annan plats (R00-R99)"	""	""	""	""	""	""	""
"08"	""	""	""	""	""	""	""	"Tumörer (C00-D48)"	""	""	""	""	""	""	""
"08"	""	""	""	""	""	""	""	"Vissa infektionssjukdomar och parasitsjukdomar (A00-B99)"	""	""	""	""	""	""	""
"08"	""	""	""	""	""	""	""	"Vissa perinatala tillstånd (P00-P96)"	""	""	""	""	""	""	""
"09"	"1997-01-01"	""	"Cirkulationsorganens sjukdomar (I00-I99)"	"Morbi organorum circulationis"	""	""	""	"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar (E00-E90)"	""	""	"<div>Detta kapitel innehåller följande avsnitt:<div>I00-I02 Akut reumatisk feber</div><div>I05-I09 Kroniska reumatiska hjärtsjukdomar</div><div>I10-I15 Hypertonisjukdomar</div><div>I20-I25 Ischemiska hjärtsjukdomar</div><div>I26-I28 Sjukdomstillstånd inom lungcirkulationen</div><div>I30-I52 Andra former av hjärtsjukdom</div><div>I60-I69 Sjukdomar i hjärnans kärl</div><div>I70-I79 Sjukdomar i artärer, arterioler och kapillärer</div><div>I80-I89 Sjukdomar i vener, lymfkärl och lymfkörtlar som ej klassificeras på annan plats</div><div>I95-I99 Andra och ospecificerade sjukdomar i cirkulationsorganen</div></div><div><br></div><div>Detta kapitel innehåller följande asteriskkoder:<div>I32* Perikardit vid sjukdomar som klassificeras på annan plats</div><div>I39* Endokardit och hjärtklafförändringar vid sjukdomar som klassificeras på annan plats</div><div>I41* Myokardit vid sjukdomar som klassificeras på annan plats</div><div>I43* Hjärtmuskelsjukdom vid sjukdomar som klassificeras på annan plats</div><div>I52* Andra hjärtsjukdomar vid sjukdomar som klassificeras på annan plats</div><div>I68* Förändringar i hjärnans kärl vid sjukdomar som klassificeras på annan plats</div><div>I79* Förändringar i artärer, arterioler och kapillärer vid sjukdomar som klassificeras på annan plats</div><div>I98* Andra tillstånd i cirkulationsorganen vid sjukdomar som klassificeras på annan plats</div></div>"	""	""	""	"Kapitelkod"
"09"	""	""	""	""	""	""	""	"Komplikationer vid graviditet, förlossning och under barnsängstid (O00-O99)"	""	""	""	""	""	""	""
"09"	""	""	""	""	""	""	""	"Medfödda missbildningar, deformiteter och kromosomavvikelser (Q00-Q99)"	""	""	""	""	""	""	""
"09"	""	""	""	""	""	""	""	"Skador, förgiftningar och vissa andra följder av yttre orsaker (S00-T98)"	""	""	""	""	""	""	""
