"Kod"	"Giltig från"	"Överordnad kod"	"Titel"	"Latin"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Kodningsinformation"	"Innehåll"	"Manifestation(*)/Etiologi(†)"	"Koppling Manifestation(*)/Etiologi(†)"	"Ej huvuddiagnos"	"Kodnivå - kodspecifikation"
"D41.0"	"1997-01-01"	"D41"	"Tumör av osäker eller okänd natur i njure"	""	""	""	""	"Njurbäcken (D41.1)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D41.0A"	"2009-01-01"	"D41.0"	"Tumör av patologiskt osäker natur i njure"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.0B"	"2009-01-01"	"D41.0"	"Tumör av kliniskt okänd natur i njure"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.1"	"1997-01-01"	"D41"	"Tumör av osäker eller okänd natur i njurbäcken"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D41.1A"	"2009-01-01"	"D41.1"	"Tumör av patologiskt osäker natur i njurbäcken"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.1B"	"2009-01-01"	"D41.1"	"Tumör av kliniskt okänd natur i njurbäcken"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.2"	"1997-01-01"	"D41"	"Tumör av osäker eller okänd natur i uretär"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D41.2A"	"2009-01-01"	"D41.2"	"Tumör av patologiskt osäker natur i uretär"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.2B"	"2009-01-01"	"D41.2"	"Tumör av kliniskt okänd natur i uretär"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.3"	"1997-01-01"	"D41"	"Tumör av osäker eller okänd natur i uretra"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D41.3A"	"2009-01-01"	"D41.3"	"Tumör av patologiskt osäker natur i uretra"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.3B"	"2009-01-01"	"D41.3"	"Tumör av kliniskt okänd natur i uretra"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.4"	"1997-01-01"	"D41"	"Tumör av osäker eller okänd natur i urinblåsan"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D41.4A"	"2009-01-01"	"D41.4"	"Tumör av patologiskt osäker natur i urinblåsan"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.4B"	"2009-01-01"	"D41.4"	"Tumör av kliniskt okänd natur i urinblåsan"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.7"	"1997-01-01"	"D41"	"Tumör av osäker eller okänd natur i andra specificerade lokalisationer i urinorganen"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D41.7A"	"2009-01-01"	"D41.7"	"Tumör av patologiskt osäker natur i andra specificerade lokalisationer i urinorganen"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.7B"	"2009-01-01"	"D41.7"	"Tumör av kliniskt okänd natur i andra specificerade lokalisationer i urinorganen"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D41.9"	"1997-01-01"	"D41"	"Ospecificerad lokalisation av tumör av osäker eller okänd natur i urinorganen"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D42"	"1997-01-01"	"D37-D48"	"Tumör av osäker eller okänd natur i centrala nervsystemets hinnor"	"Neoplasma naturae incertae sive ignotae meningum cerebralium sive spinalium"	""	""	""	""	""	""	""	""	""	""	"Kategorikod, treställig"
"D42.0"	"1997-01-01"	"D42"	"Tumör av osäker eller okänd natur i hjärnhinnor"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D42.0A"	"2009-01-01"	"D42.0"	"Tumör av patologiskt osäker natur i hjärnhinnor"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D42.0B"	"2009-01-01"	"D42.0"	"Tumör av kliniskt okänd natur i hjärnhinnor"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D42.1"	"1997-01-01"	"D42"	"Tumör av osäker eller okänd natur i ryggmärgshinnor"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D42.1A"	"2009-01-01"	"D42.1"	"Tumör av patologiskt osäker natur i ryggmärgshinnor"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D42.1B"	"2009-01-01"	"D42.1"	"Tumör av kliniskt okänd natur i ryggmärgshinnor"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D42.9"	"1997-01-01"	"D42"	"Ospecificerad lokalisation av tumör av osäker eller okänd natur i centrala nervsystemets hinnor"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D43"	"1997-01-01"	"D37-D48"	"Tumör av osäker eller okänd natur i hjärnan och andra delar av centrala nervsystemet"	"Neoplasma naturae incertae sive ignotae cerebri et systematis nervosi centralis"	""	""	""	"Perifera nerver och autonoma nervsystemet (D48.2)"	""	""	""	""	""	""	"Kategorikod, treställig"
"D43.0"	"1997-01-01"	"D43"	"Tumör av osäker eller okänd natur i hjärnan, supratentoriell lokalisation"	""	""	"Frontallob"	""	"Fjärde ventrikeln (D43.1)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D43.0"	""	""	""	""	""	"Hjärnventrikel"	""	""	""	""	""	""	""	""	""
"D43.0"	""	""	""	""	""	"Occipitallob"	""	""	""	""	""	""	""	""	""
"D43.0"	""	""	""	""	""	"Parietallob"	""	""	""	""	""	""	""	""	""
"D43.0"	""	""	""	""	""	"Temporallob"	""	""	""	""	""	""	""	""	""
"D43.0A"	"2009-01-01"	"D43.0"	"Tumör av patologiskt osäker natur i hjärnan, supratentoriell lokalisation"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.0B"	"2009-01-01"	"D43.0"	"Tumör av kliniskt okänd natur i hjärnan, supratentoriell lokalisation"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.1"	"1997-01-01"	"D43"	"Tumör av osäker eller okänd natur i hjärnan, infratentoriell lokalisation"	""	""	"Fjärde ventrikeln"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D43.1"	""	""	""	""	""	"Hjärnstammen"	""	""	""	""	""	""	""	""	""
"D43.1"	""	""	""	""	""	"Lillhjärnan"	""	""	""	""	""	""	""	""	""
"D43.1A"	"2009-01-01"	"D43.1"	"Tumör av patologiskt osäker natur i hjärnan, infratentoriell lokalisation"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.1B"	"2009-01-01"	"D43.1"	"Tumör av kliniskt okänd natur i hjärnan, infratentoriell lokalisation"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.2"	"1997-01-01"	"D43"	"Tumör av osäker eller okänd natur med ospecificerad lokalisation i hjärnan"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D43.3"	"1997-01-01"	"D43"	"Tumör av osäker eller okänd natur i kranialnerver"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D43.3A"	"2009-01-01"	"D43.3"	"Tumör av patologiskt osäker natur i kranialnerver"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.3B"	"2009-01-01"	"D43.3"	"Tumör av kliniskt okänd natur i kranialnerver"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.4"	"1997-01-01"	"D43"	"Tumör av osäker eller okänd natur i ryggmärgen"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D43.4A"	"2009-01-01"	"D43.4"	"Tumör av patologiskt osäker natur i ryggmärgen"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.4B"	"2009-01-01"	"D43.4"	"Tumör av kliniskt okänd natur i ryggmärgen"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.7"	"1997-01-01"	"D43"	"Tumör av osäker eller okänd natur i andra specificerade lokalisationer i centrala nervsystemet"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D43.7A"	"2009-01-01"	"D43.7"	"Tumör av patologiskt osäker natur i andra specificerade lokalisationer i centrala nervsystemet"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.7B"	"2009-01-01"	"D43.7"	"Tumör av kliniskt okänd natur i andra specificerade lokalisationer i centrala nervsystemet"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D43.9"	"1997-01-01"	"D43"	"Ospecificerad lokalisation av tumör av osäker eller okänd natur i centrala nervsystemet"	""	""	"Nervsystemet (centrala) UNS"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44"	"1997-01-01"	"D37-D48"	"Tumör av osäker eller okänd natur i de endokrina körtlarna"	"Neoplasma naturae incertae sive ignotae glandularum endocrinarum"	""	""	""	"Ovarium (D39.1)"	""	""	""	""	""	""	"Kategorikod, treställig"
"D44"	""	""	""	""	""	""	""	"Pankreas endokrina del (D37.7)"	""	""	""	""	""	""	""
"D44"	""	""	""	""	""	""	""	"Testis (D40.1)"	""	""	""	""	""	""	""
"D44"	""	""	""	""	""	""	""	"Tymus (D38.4)"	""	""	""	""	""	""	""
"D44.0"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i tyreoidea"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.0A"	"2009-01-01"	"D44.0"	"Tumör av patologiskt osäker natur i tyreoidea"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.0B"	"2009-01-01"	"D44.0"	"Tumör av kliniskt okänd natur i tyreoidea"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.1"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i binjure"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.1A"	"2009-01-01"	"D44.1"	"Tumör av patologiskt osäker natur i binjure"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.1B"	"2009-01-01"	"D44.1"	"Tumör av kliniskt okänd natur i binjure"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.2"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i paratyreoidea"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.2A"	"2009-01-01"	"D44.2"	"Tumör av patologiskt osäker natur i paratyreoidea"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.2B"	"2009-01-01"	"D44.2"	"Tumör av kliniskt okänd natur i paratyreoidea"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.3"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i hypofysen"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.3A"	"2009-01-01"	"D44.3"	"Tumör av patologiskt osäker natur i hypofysen"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.3B"	"2009-01-01"	"D44.3"	"Tumör av kliniskt okänd natur i hypofysen"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.4"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i ductus craniopharyngealis"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.4A"	"2009-01-01"	"D44.4"	"Tumör av patologiskt osäker natur i ductus craniopharyngealis"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.4B"	"2009-01-01"	"D44.4"	"Tumör av kliniskt okänd natur i ductus craniopharyngealis"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.5"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i corpus pineale"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.5A"	"2009-01-01"	"D44.5"	"Tumör av patologiskt osäker natur i corpus pineale"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.5B"	"2009-01-01"	"D44.5"	"Tumör av kliniskt okänd natur i corpus pineale"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.6"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i glomus caroticum"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.6A"	"2009-01-01"	"D44.6"	"Tumör av patologiskt osäker natur i glomus caroticum"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.6B"	"2009-01-01"	"D44.6"	"Tumör av kliniskt okänd natur i glomus caroticum"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.7"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur i aortic body (aortanära körtel) och andra paraganglier"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.7A"	"2009-01-01"	"D44.7"	"Tumör av patologiskt osäker natur i aortic body (aortanära körtel) och andra paraganglier"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.7B"	"2009-01-01"	"D44.7"	"Tumör av kliniskt okänd natur i aortic body (aortanära körtel) och andra paraganglier"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.8"	"1997-01-01"	"D44"	"Tumör av osäker eller okänd natur med multiglandulär lokalisation"	""	""	"Multipel endokrin adenomatos"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D44.8A"	"1997-01-01"	"D44.8"	"Tumör med multiglandulär lokalisation, typ I"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.8B"	"1997-01-01"	"D44.8"	"Tumör med multiglandulär lokalisation, typ II"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.8C"	"1997-01-01"	"D44.8"	"Tumör med multiglandulär lokalisation, typ III"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D44.9"	"1997-01-01"	"D44"	"Ospecificerad lokalisation av tumör av osäker eller okänd natur i endokrin körtel"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D45"	"1997-01-01"	"D37-D48"	"Polycythaemia vera (sjuklig ökning av antalet röda blodkroppar)"	"Polycythaemia vera"	""	""	""	""	"Polycythaemia vera har klassificerats om som malign i tredje upplagan av ICD-O. Koden D45 kommer att fortsätta användas i ICD-10, trots att den är placerad i avsnittet Tumörer av okänd eller osäker natur. En ändring av klassificeringen får vänta till ICD-11-revisionen."	""	""	""	""	""	"Kategorikod, treställig"
"D45.9"	"1997-01-01"	"D45"	"Polycythaemia vera (sjuklig ökning av antalet röda blodkroppar)"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46"	"1997-01-01"	"D37-D48"	"Myelodysplastiska syndrom"	"Syndromata myelodysplastica"	""	""	"Myeloplastiskt syndrom relaterat till alkylerande substanser"	"Läkemedelsutlöst aplastisk anemi (D61.1)"	""	""	""	""	""	""	"Kategorikod, treställig"
"D46"	""	""	""	""	""	""	"Myeloplastiskt syndrom relaterat till epipodofyllotoxin"	""	""	""	""	""	""	""	""
"D46.0"	"1997-01-01"	"D46"	"Refraktär anemi utan ringsideroblaster"	""	""	""	""	""	"Utan sideroblaster, utan blastöverskott"	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.1"	"1997-01-01"	"D46"	"Refraktär anemi med ringsideroblaster"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.2"	"1997-01-01"	"D46"	"Refraktär anemi med överskott av blastceller [RAEB]"	""	""	"RAEB I"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.2"	""	""	""	""	""	"RAEB II"	""	""	""	""	""	""	""	""	""
"D46.4"	"1997-01-01"	"D46"	"Refraktär anemi, ospecificerad"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.5"	"2010-01-01"	"D46"	"Refraktär anemi med dysplasi av multilinjärt ursprung"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.6"	"2010-01-01"	"D46"	"Myelodysplastiskt syndrom med isolerad kromosomavvikelse av typ del(5q)"	""	""	"5q-minus-syndrom"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.7"	"1997-01-01"	"D46"	"Andra myelodysplastiska syndrom"	""	""	""	""	"Kronisk myelomonocytleukemi (C93.1)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.9"	"1997-01-01"	"D46"	"Myelodysplastiskt syndrom, ospecificerat"	""	""	"Myelodysplasi UNS"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D46.9"	""	""	""	""	""	"Preleukemi(syndrom) UNS"	""	""	""	""	""	""	""	""	""
"D47"	"1997-01-01"	"D37-D48"	"Andra tumörer av osäker eller okänd natur i lymfatisk, blodbildande och besläktad vävnad"	"Alia neoplasmata naturae incertae sive ignotae telae lymphaticae, haematopoieticae et cognatae"	""	""	""	""	""	""	""	""	""	""	"Kategorikod, treställig"
"D47.0"	"1997-01-01"	"D47"	"Histiocyt- och mastcellstumörer av osäker och okänd natur"	""	""	"Indolent systemisk mastocytos"	""	"Mastocytos (kongenital) (kutan) (Q82.2)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D47.0"	""	""	""	""	""	"Mastcellstumör UNS"	""	""	""	""	""	""	""	""	""
"D47.0"	""	""	""	""	""	"Mastocytom UNS"	""	""	""	""	""	""	""	""	""
"D47.0"	""	""	""	""	""	"Systemisk mastocytos, associerad med klonal hematopoetisk icke-mastcellssjukdom (SM-AHNMD)"	""	""	""	""	""	""	""	""	""
"D47.1"	"1997-01-01"	"D47"	"Kronisk myeloproliferativ sjukdom"	""	""	"Kronisk neutrofil leukemi"	""	"Atypisk kronisk myeloisk leukemi, BCR/ABL-negativ (C92.2)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D47.1"	""	""	""	""	""	"Myeloproliferativ sjukdom, ospecificerad"	""	"Kronisk myeloisk leukemi [KML], BCR/ABL-positiv (C92.1)"	""	""	""	""	""	""	""
"D47.2"	"1997-01-01"	"D47"	"Monoklonal gammopati av obestämd signifikans [MGUS]"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D47.3"	"1997-01-01"	"D47"	"Essentiell trombocytemi"	""	""	"Idiopatisk hemorragisk trombocytemi"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D47.4"	"2010-01-01"	"D47"	"Osteomyelofibros"	""	""	"Kronisk idiopatisk myelofibros"	""	"Akut myelofibros (C94.4)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D47.4"	""	""	""	""	""	"Myelofibros (idiopatisk) (med myeloisk metaplasi)"	""	""	""	""	""	""	""	""	""
"D47.4"	""	""	""	""	""	"Myeloskleros (megakaryocytisk) med myeloisk metaplasi"	""	""	""	""	""	""	""	""	""
"D47.4"	""	""	""	""	""	"Sekundär myelofibros vid myeloproliferativ sjukdom"	""	""	""	""	""	""	""	""	""
"D47.5"	"2010-01-01"	"D47"	"Kronisk eosinofil leukemi [hypereosinofilt syndrom]"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D47.7"	"1997-01-01"	"D47"	"Andra specificerade tumörer av osäker eller okänd natur i lymfatisk, blodbildande och besläktad vävnad"	""	""	"Histiocyttumörer av osäker eller okänd natur"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D47.9"	"1997-01-01"	"D47"	"Ospecificerad tumör av osäker eller okänd natur i lymfatisk, blodbildande och besläktad vävnad"	""	""	"Lymfoproliferativ sjukdom UNS"	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D48"	"1997-01-01"	"D37-D48"	"Tumör av osäker eller okänd natur med annan och ospecificerad lokalisation"	"Neoplasma naturae incertae sive ignotae loco alio et non specificato"	""	""	""	"Neurofibromatos (icke-malign) (Q85.0)"	""	""	""	""	""	""	"Kategorikod, treställig"
"D48.0"	"1997-01-01"	"D48"	"Tumör av osäker eller okänd natur i ben och ledbrosk"	""	""	""	""	"Bindväv i ögonlock (D48.1)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D48.0"	""	""	""	""	""	""	""	"Brosk i:<ul><li>larynx (D38.0)</li><li>näsan (D38.5)</li><li>ögonlock (D48.1)</li><li>öra (D48.1)</li></ul>"	""	""	""	""	""	""	""
"D48.0"	""	""	""	""	""	""	""	"Synovialmembran (D48.1)"	""	""	""	""	""	""	""
"D48.0A"	"2009-01-01"	"D48.0"	"Tumör av patologiskt osäker natur i ben och ledbrosk"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.0B"	"2009-01-01"	"D48.0"	"Tumör av kliniskt okänd natur i ben och ledbrosk"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.1"	"1997-01-01"	"D48"	"Tumör av osäker eller okänd natur i bindväv och annan mjukvävnad"	""	""	"Bindväv och brosk i:<ul><li>ögonlock</li><li>öra</li></ul>"	""	"Bindväv i bröstkörtel (D48.6)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D48.1"	""	""	""	""	""	""	""	"Brosk i:<ul><li>larynx (D38.0)</li><li>leder (D48.0)</li><li>näsan (D38.5)</li></ul>"	""	""	""	""	""	""	""
"D48.1A"	"1997-01-01"	"D48.1"	"Angiomyxom"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.1B"	"1997-01-01"	"D48.1"	"Desmoid"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.1C"	"1997-01-01"	"D48.1"	"Medfödd generaliserad fibromatos"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.1D"	"1997-01-01"	"D48.1"	"Aggressiv infantil fibromatos"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.1E"	"1997-01-01"	"D48.1"	"Hemangiopericytom UNS"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.1W"	"1997-01-01"	"D48.1"	"Annan tumör av osäker eller okänd natur i bindväv och annan mjukvävnad"	""	""	""	""	""	""	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.2"	"1997-01-01"	"D48"	"Tumör av osäker eller okänd natur i perifera nerver och autonoma nervsystemet"	""	""	""	""	"Perifera nerver i orbita (D48.7)"	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
"D48.2A"	"2009-01-01"	"D48.2"	"Tumör av patologiskt osäker natur i perifera nerver och autonoma nervsystemet"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.2B"	"2009-01-01"	"D48.2"	"Tumör av kliniskt okänd natur i perifera nerver och autonoma nervsystemet"	""	""	""	""	""	"Se Anmärkning under D37.0A"	""	""	""	""	""	"Nationell fördjupningskod, femställig (sex tecken med punkt)"
"D48.3"	"1997-01-01"	"D48"	"Tumör av osäker eller okänd natur i retroperitoneum"	""	""	""	""	""	""	""	""	""	""	""	"Subkategorikod, fyrställig (fem tecken med punkt)"
