condition | icdv | dx | method         | pattern
mal       | 10   | 1  | ludvigsson2021 | ^C57
mal       | 10   | 1  | ludvigsson2021 | ^C58
mal       | 10   | 1  | ludvigsson2021 | ^C60
mal       | 10   | 1  | ludvigsson2021 | ^C61
mal       | 10   | 1  | ludvigsson2021 | ^C62
mal       | 10   | 1  | ludvigsson2021 | ^C63
mal       | 10   | 1  | ludvigsson2021 | ^C64
mal       | 10   | 1  | ludvigsson2021 | ^C65
mal       | 10   | 1  | ludvigsson2021 | ^C66
mal       | 10   | 1  | ludvigsson2021 | ^C67
mal       | 10   | 1  | ludvigsson2021 | ^C68
mal       | 10   | 1  | ludvigsson2021 | ^C69
mal       | 10   | 1  | ludvigsson2021 | ^C70
mal       | 10   | 1  | ludvigsson2021 | ^C71
mal       | 10   | 1  | ludvigsson2021 | ^C72
mal       | 10   | 1  | ludvigsson2021 | ^C73
mal       | 10   | 1  | ludvigsson2021 | ^C74
mal       | 10   | 1  | ludvigsson2021 | ^C75
mal       | 10   | 1  | ludvigsson2021 | ^C76
mal       | 10   | 1  | ludvigsson2021 | ^C81
mal       | 10   | 1  | ludvigsson2021 | ^C82
mal       | 10   | 1  | ludvigsson2021 | ^C83
mal       | 10   | 1  | ludvigsson2021 | ^C84
mal       | 10   | 1  | ludvigsson2021 | ^C85
mal       | 10   | 1  | ludvigsson2021 | ^C86
mal       | 10   | 1  | ludvigsson2021 | ^C88
mal       | 10   | 1  | ludvigsson2021 | ^C90
mal       | 10   | 1  | ludvigsson2021 | ^C91
mal       | 10   | 1  | ludvigsson2021 | ^C92
mal       | 10   | 1  | ludvigsson2021 | ^C93
mal       | 10   | 1  | ludvigsson2021 | ^C94
mal       | 10   | 1  | ludvigsson2021 | ^C95
mal       | 10   | 1  | ludvigsson2021 | ^C96
mal       | 10   | 1  | ludvigsson2021 | ^C97
mi        | 10   | 1  | ludvigsson2021 | ^I21
mi        | 10   | 1  | ludvigsson2021 | ^I22
mi        | 10   | 1  | ludvigsson2021 | ^I25\.?2
mld       | 10   | 1  | ludvigsson2021 | ^B1[5-9]
mld       | 10   | 1  | ludvigsson2021 | ^K70\.?3
mld       | 10   | 1  | ludvigsson2021 | ^K70\.?9
mld       | 10   | 1  | ludvigsson2021 | ^K73
mld       | 10   | 1  | ludvigsson2021 | ^K74\.?6
mld       | 10   | 1  | ludvigsson2021 | ^K75\.?4
msld      | 10   | 1  | ludvigsson2021 | ^I85\.?0
msld      | 10   | 1  | ludvigsson2021 | ^I85\.?9
msld      | 10   | 1  | ludvigsson2021 | ^I98\.?2
msld      | 10   | 1  | ludvigsson2021 | ^I98\.?3
msld      | 10   | 1  | ludvigsson2021 | ^R18
mst       | 10   | 1  | ludvigsson2021 | ^C77
mst       | 10   | 1  | ludvigsson2021 | ^C78
mst       | 10   | 1  | ludvigsson2021 | ^C79
mst       | 10   | 1  | ludvigsson2021 | ^C80
ocpd      | 10   | 1  | ludvigsson2021 | ^J41
ocpd      | 10   | 1  | ludvigsson2021 | ^J42
ocpd      | 10   | 1  | ludvigsson2021 | ^J45
ocpd      | 10   | 1  | ludvigsson2021 | ^J46
ocpd      | 10   | 1  | ludvigsson2021 | ^J47
ocpd      | 10   | 1  | ludvigsson2021 | ^J60
ocpd      | 10   | 1  | ludvigsson2021 | ^J61
ocpd      | 10   | 1  | ludvigsson2021 | ^J62
ocpd      | 10   | 1  | ludvigsson2021 | ^J63
ocpd      | 10   | 1  | ludvigsson2021 | ^J64
ocpd      | 10   | 1  | ludvigsson2021 | ^J65
ocpd      | 10   | 1  | ludvigsson2021 | ^J66
ocpd      | 10   | 1  | ludvigsson2021 | ^J67
ocpd      | 10   | 1  | ludvigsson2021 | ^J68
ocpd      | 10   | 1  | ludvigsson2021 | ^J69
ocpd      | 10   | 1  | ludvigsson2021 | ^J70
pud       | 10   | 1  | ludvigsson2021 | ^K25
pud       | 10   | 1  | ludvigsson2021 | ^K26
pud       | 10   | 1  | ludvigsson2021 | ^K27
pud       | 10   | 1  | ludvigsson2021 | ^K28
pvd       | 10   | 1  | ludvigsson2021 | ^I70
pvd       | 10   | 1  | ludvigsson2021 | ^I71
pvd       | 10   | 1  | ludvigsson2021 | ^I73\.?1
pvd       | 10   | 1  | ludvigsson2021 | ^I73\.?8
pvd       | 10   | 1  | ludvigsson2021 | ^I73\.?9
pvd       | 10   | 1  | ludvigsson2021 | ^I77\.?1
pvd       | 10   | 1  | ludvigsson2021 | ^I79\.?0
pvd       | 10   | 1  | ludvigsson2021 | ^I79\.?2
pvd       | 10   | 1  | ludvigsson2021 | ^K55
